fgk_no,H-II,Sp,BmV0,Teff,vsini,W_7699,W_6708,logN_Li
k201,97,K3V,1.043,4500,5,430,75,0.99
k501,133,K5.5Ve,1.323,3980,19,750,55,0.20
k202,324,-,1.016,4560,68,580,210,1.87
k506,347,K7Ve,1.380,3920,80,950,<40,<-0.01
k204,676,K3.5Ve,1.065,4400,4,480,34,0.46
k403,686,K7Ve,1.201,4180,66,730,150,1.05
g208,1136,G8V,0.784,5240,71,400,275,3.25
k306,1305,K6.5e,1.151,4260,91,600,<60,<0.53
k406,1306,dK5e,1.290,4040,14,675,75,0.44
k409,1532,-,1.243,4100,40,780,60,0.37
k520,1756,-,1.325,3980,6,660,150,0.86
k211,1883,K2V,1.019,4560,135,540,250,2.13
k522,2193,K6Ve,1.392,3900,22,790,<60,<-0.22
k523,2208,K6Ve,1.349,4960,59,870,<60,<-0.10
k411,2927,K4Ve,1.241,4100,96,800,,60,<0.38
