R,Teff,W_6708_w_Fe,eW_6708_w_Fe,W_6707pt44Fe
3,5080,265,13,13.6
7,6750,65,17,5.0
14,5080,230,10,13.6
15,4900,259,12,14.8
18,4560,<17,,17.2
21,6430,119,10,6.4
29,4440,239,11,18.4
35,5770,215,8,9.6
43,4840,355,20,15.2
45,5810,151,7,9.4
56,3910,138,6,24.8
58,5850,210,27,9.2
59,5240,305,15,12.6
66,5730,186,6,9.8
68,5110,266,10,13.4
70,5700,168,8,10.0
72,5890,209,15,9.0
79,6750,61,20,5.0
80,4840,188,8,15.2
83,5970,203,6,8.6
85,6390,103,10,6.6
89,4180,265,8,21.0
92,5690,195,10,10.0
94,3950,174,8,24.0
95A,5080 317,15,13.6
