_RAJ2000,_DEJ2000,recno,CName,Cluster,Inst,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,l_EWLi,EWLi,e_EWLi,f_EWLi,Gamma,e_Gamma,RV,e_RV,MembPA,MembPB,ID,Simbad,_RA,_DE
129.2290833333333,-53.14283333333333,2,08365498-5308342, IC2391,   UVES,5379,49,4.461,0.048,-0.077,0.013, ,218.9,,0,,,15.145,0.4,0.973,,2,Simbad,129.2290833333333,-53.14283333333333
129.29412499999998,-53.25927777777777,3,08371059-5315334, IC2391,   UVES,9500,2000,3.778,1.0,-0.023,, ,,,0,,,13.362,0.4,0.934,,3,Simbad,129.29412499999998,-53.25927777777777
130.012625,-53.85177777777778,21,08400303-5351064, IC2391,   UVES,7228,0,4.06,,-0.14,, ,3.5,,0,,,14.939,0.4,0.973,,21,Simbad,130.01262499999999,-53.85177777777777
130.02599999999998,-53.63525,24,08400624-5338069, IC2391,   UVES,5808,0,4.35,,-0.05,, ,163.9,,0,,,16.226,0.4,0.928,,24,Simbad,130.02599999999998,-53.63524999999999
130.579125,-53.10005555555556,39,08421899-5306002, IC2391,   UVES,12500,2000,3.691,1.0,,, ,,,0,,,14.365,0.4,0.97,,39,Simbad,130.57912499999998,-53.10005555555555
131.02170833333332,-52.88808333333334,47,08440521-5253171, IC2391,   UVES,5819,36,4.32,0.091,0.022,0.056, ,184.2,,0,,,14.035,0.4,0.967,,47,Simbad,131.02170833333332,-52.88808333333333
129.19054166666666,-53.192472222222214,77,08364573-5311329, IC2391,GIRAFFE,3263,0,4.276,,,, ,108.95,17.14,0,0.878,0.017,15.387,0.558,0.971,,77,Simbad,129.19054166666666,-53.192472222222214
129.67787499999997,-53.087777777777774,122,08384269-5305160, IC2391,GIRAFFE,6060,30,4.214,0.059,0.162,0.002, ,32.4,3.943,0,0.993,0.002,15.858,0.242,0.95,,122,Simbad,129.67787499999997,-53.087777777777774
129.84408333333332,-53.91822222222222,169,08392258-5355056, IC2391,GIRAFFE,5075,0,4.52,,-0.01,, ,241.867,3.414,0,0.966,0.002,15.313,0.241,0.971,,169,Simbad,129.84408333333332,-53.91822222222221
129.919,-53.10205555555556,200,08394056-5306074, IC2391,GIRAFFE,4249,0,2.347,,0.075,, ,,,0,,,15.934,1.927,0.946,,200,Simbad,129.91899999999998,-53.10205555555555
