    Cluster    Teff  WLi_limit          WLi        e_WLi          ALi        e_ALi              Ref 
      TucHor   3796          0       275.00        21.00          nan          nan      Mentuch2008 
      TucHor   4310          0       237.00        21.00          nan          nan      Mentuch2008 
      TucHor   5212          0       284.00        23.00          nan          nan      Mentuch2008 
      TucHor   3541          0       353.00        21.00          nan          nan      Mentuch2008 
      TucHor   3578          0        33.00        21.00          nan          nan      Mentuch2008 
      TucHor   4238          0       127.00        22.00          nan          nan      Mentuch2008 
      TucHor   5854          0       205.00        20.00          nan          nan      Mentuch2008 
      TucHor   6292          0       133.00        20.00          nan          nan      Mentuch2008 
      TucHor   5825          0       192.00        20.00          nan          nan      Mentuch2008 
      TucHor   5165          0       178.00        20.00          nan          nan      Mentuch2008 
      TucHor   5748          0       224.00        20.00          nan          nan      Mentuch2008 
      TucHor   5543          0       171.00        22.00          nan          nan      Mentuch2008 
      TucHor   3975          0        55.00        21.00          nan          nan      Mentuch2008 
      TucHor   5541          0       261.00        20.00          nan          nan      Mentuch2008 
      TucHor   5757          0       202.00        20.00          nan          nan      Mentuch2008 
      TucHor   4620          0       218.00        20.00          nan          nan      Mentuch2008 
      TucHor   5813          0       212.00        21.00          nan          nan      Mentuch2008 
      TucHor   6323          0       128.00        20.00          nan          nan      Mentuch2008 
      TucHor   6217          0       149.00        20.00          nan          nan      Mentuch2008 
      TucHor   3890          0       181.00        20.00          nan          nan      Mentuch2008 
      TucHor   4017          0        38.00        22.00          nan          nan      Mentuch2008 
      TucHor   6003          0       188.00        20.00          nan          nan      Mentuch2008 
      TucHor   6342          0       130.00        20.00          nan          nan      Mentuch2008 
      TucHor   3827          0       338.00        20.00          nan          nan      Mentuch2008 
      TucHor   6210          0       163.00        21.00          nan          nan      Mentuch2008 
      TucHor   5268          0       287.00        20.00          nan          nan      Mentuch2008 
      TucHor   5774          0       233.00        20.00          nan          nan      Mentuch2008 
      TucHor   4859          0       279.00        20.00          nan          nan      Mentuch2008 
      TucHor   3677          0        55.00        22.00          nan          nan      Mentuch2008 
      TucHor   6173          0       153.00        20.00          nan          nan      Mentuch2008 
      TucHor   5992          0       187.00        20.00          nan          nan      Mentuch2008 
      TucHor   5163          0       249.00        20.00          nan          nan      Mentuch2008 
      TucHor   4939          0       241.00        22.00          nan          nan      Mentuch2008 
      TucHor   5513          0       259.00        20.00          nan          nan      Mentuch2008 
      TucHor   5453          0       267.00        21.00          nan          nan      Mentuch2008 
      TucHor   3796          0       275.00        21.00          nan          nan      Mentuch2008 
      TucHor   4310          0       237.00        21.00          nan          nan      Mentuch2008 
      TucHor   5212          0       284.00        23.00          nan          nan      Mentuch2008 
      TucHor   3541          0       353.00        21.00          nan          nan      Mentuch2008 
